census_tract_id_2020,fraction_poverty,fraction_snap,fraction_insured,median_income,fraction_hs,fraction_vacant,dep_index
19027960100,0.07,0.03,0.96,82000,0.956,0.125,0.21502006933036724
47157000100,0.097,0.018,0.982,70100,0.984,0.043,0.20342815015720633
26125156300,0.026,0.083,0.991,145000,0.967,0.094,0.14490710807440557
26125150600,0.023,0.008,0.959,203000,0.99,0,0.06618814771953561
10003016401,0.07,0.104,0.924,143000,0.956,0.017,0.18647829022268664
10003001300,0.032,0.012,0.978,153000,0.995,0.081,0.1129776198702501
09003504000,NA,NA,NA,NA,NA,NA,NA
09003430400,NA,NA,NA,NA,NA,NA,NA
48039661000,0.059,0.208,0.857,111000,0.841,0.104,0.31357214479777296
48039664400,0.173,0.157,0.757,53300,0.841,0.347,0.44858333636132053
21083020301,0.311,0.298,0.904,34400,0.864,0.133,0.4653552394558116
21107970301,0.118,0.143,0.941,51500,0.839,0.147,0.33848163342176507
21157950101,0.101,0.088,0.973,58600,0.943,0.087,0.25722027436522815
34021004404,0.03,0.071,0.876,98800,0.865,0.068,0.2546139704246153
34021003100,0.096,0.08,0.897,78100,0.873,0.064,0.285416328014954
29109470300,0.152,0.123,0.781,75800,0.809,0.091,0.38529447636803954
42003101100,0.139,0.098,0.961,84600,0.949,0.237,0.2704008637999503
42003050900,0.537,0.705,0.977,13300,0.805,0.045,0.6605498236020838
42003519000,0.033,0.03,0.971,106000,0.967,0.013,0.16220438319522498
42003421200,0.037,0.034,0.98,105000,0.961,0.067,0.17047232969099357
17095001600,0.058,0.084,0.903,62800,0.961,0.135,0.26349085483122486
06115040600,0.136,0.211,0.955,66300,0.777,0.038,0.35523844777105684
20091052304,0.034,0.023,0.966,94300,0.963,0.054,0.17815626800215015
36047019200,0.236,0.32,0.884,69300,0.641,0.11,0.4974970150436466
04013108000,0.007,0.013,0.982,250000,0.996,0.1,0.02409017563631551
04013116725,0.066,0.044,0.93,115000,1,0.07,0.18004090436441925
04013104207,0.061,0.045,0.963,79900,0.932,0.047,0.21626838402020734
33011018502,0.057,0.035,0.966,105000,0.937,0.119,0.1964416637584084
29021002200,0.05,0,0.984,96800,0.963,0.088,0.17181175813469554
48501950100,0.211,0.065,0.672,73900,0.819,0.176,0.4351919127235853
20091980003,NA,NA,NA,NA,NA,NA,NA
47157021710,0.321,0.191,0.785,27900,0.93,0.209,0.47241724202296304
47157021751,0.091,0.119,0.904,102000,0.98,0.052,0.23547180317964406
47043060402,0.068,0.071,0.885,87100,0.938,0.063,0.24851677885085807
34013020500,0.001,0.012,0.991,250000,0.982,0,0.011742859746246951
20173000300,0.379,0.257,0.821,37500,0.604,0.152,0.5924828994198775
06085505006,0.077,0.006,0.989,224000,0.989,0.079,0.06409088415879936
39049006310,0.014,0,0.997,206000,0.993,0.044,0.04854199700339964
48141001502,0.111,0.127,0.807,88900,0.948,0.124,0.30978615449676167
39061021303,0.11,0.069,0.944,99600,0.945,0.032,0.22371453171264513
39061005701,0.199,0.2,0.929,68200,0.902,0.069,0.34211944280351386
09001061100,NA,NA,NA,NA,NA,NA,NA
09001080600,NA,NA,NA,NA,NA,NA,NA
51710000400,0.137,0.085,0.881,58300,0.907,0.166,0.3230837295524634
05005950200,0.196,0.088,0.964,40500,0.848,0.072,0.3368714175296561
19049050818,0.123,0.109,0.994,123000,0.952,0.057,0.20245683662712177
51036600300,0.112,0.137,0.969,66900,0.94,0.105,0.27290577221332457
20173005600,0.23,0.17,0.825,61100,0.875,0.138,0.4042670466178822
08105976700,0.252,0.322,0.837,54100,0.853,0.032,0.45318079235739256
17167000202,0.328,0.362,0.954,44800,0.912,0.252,0.4604886769674462
29219820105,0.206,0.194,0.931,76300,0.849,0.086,0.35482665543959535
24003730606,0.028,0.007,0.985,185000,0.926,0.035,0.09862428978612174
19125030201,0.031,0.088,0.959,93500,0.955,0.007,0.19694110525448577
12103025020,0.068,0.084,0.86,77600,0.982,0.336,0.28610603328634815
12103023501,0.154,0.134,0.855,80800,0.953,0.113,0.31225055900077026
13009970202,0.123,0.052,0.911,72800,0.944,0.188,0.27573507195801955
13129970901,0.035,0.071,0.961,89900,0.933,0.014,0.2036831793453695
22063040403,0.198,0.309,0.925,77200,0.846,0.144,0.3953994131799897
22009030702,0.248,0.296,0.898,34400,0.772,0.163,0.48065758255304664
48221160212,0.028,0.051,0.765,88800,0.877,0.102,0.2968272311963435
24005403704,0.039,0.092,0.958,143000,0.974,0.065,0.15986472864525694
37119003811,0.295,0.153,0.738,66200,0.944,0.083,0.41849024661566586
37119005722,0.043,0.023,0.93,99800,0.948,0.039,0.19292669450108166
55085970603,0.134,0.117,0.943,69300,0.94,0.29,0.30291863472937863
55031030301,0.096,0.082,0.949,83100,0.947,0.477,0.28551242280338557
13115000403,0.071,0.031,0.857,43300,0.797,0,0.32465186066103147
55129950501,0.17,0.184,0.932,53200,0.895,0.186,0.355193637939872
21015070407,0.146,0.219,0.97,104000,0.937,0.128,0.28046828310646454
37183053616,0.082,0.023,0.974,144000,0.994,0.111,0.14537683211442
37137950101,0.122,0.058,0.945,74000,0.888,0.205,0.2844997579842423
37189920702,0.073,0.074,0.891,81200,0.948,0.469,0.29713396006498183
41067033600,0.058,0.035,0.951,113000,0.929,0.06,0.19142784507460878
30097967000,0.078,0.041,0.908,69400,0.964,0.224,0.25915003373001816
49057200600,0.1,0.03,0.911,71100,0.859,0.034,0.2739160291591758
27117460100,0.097,0.043,0.944,67400,0.94,0.113,0.24977392300955692
34025802100,0.048,0.018,0.956,119000,0.95,0,0.16232142543944783
13135050321,0.02,0.017,0.882,172000,0.982,0.027,0.1277818854515781
12086008208,0.079,0.165,0.9,87100,0.896,0.124,0.2955878463171359
08037000502,0.03,0.019,0.824,122000,0.989,0.389,0.23405208199043076
12109021103,0.097,0.027,0.811,73300,0.89,0.025,0.2952718270645524
13103030204,0.129,0.103,0.922,79900,0.858,0.094,0.300860771002205
29510127400,0.358,0.279,0.753,41600,0.869,0.096,0.5182284635592278
36081157903,0.038,0.092,0.978,121000,0.791,0.081,0.23389689648481146
48265960102,0.109,0.047,0.854,58400,0.948,0.176,0.29984630716267335
48423001701,0.054,0.235,0.84,69700,0.732,0.234,0.41229719410535615
26145010306,0.069,0.062,0.974,74000,0.965,0.125,0.22276168432097787
51550021103,0.097,0,0.96,132000,0.991,0,0.14688636951191666
12069030209,0.268,0.26,0.9,24700,0.754,0.09,0.4815777102994193
24033805000,0.078,0.13,0.873,77200,0.831,0.021,0.3130022565083509
18035001300,0.338,0.282,0.857,39600,0.859,0.132,0.48379131758878724
20209043905,0.352,0.29,0.902,31600,0.8,0.121,0.49954298081628956
26063950100,0.141,0.109,0.964,47700,0.937,0.546,0.3437406153480304
22033004403,0.067,0.106,0.939,108000,0.981,0.034,0.2035601111826016
26011970500,0.136,0.198,0.939,52800,0.892,0.191,0.34759119582189485
26125194200,0.03,0.101,0.971,123000,0.98,0.034,0.1660527258947946
26163563300,0.056,0.025,0.965,89000,0.967,0.036,0.18734116241867868
26163561900,0.039,0.015,0.991,152000,0.982,0,0.10729319452305311
42067070300,0.149,0.102,0.796,67500,0.835,0.138,0.37626856369802525
18089021100,0.147,0.269,0.927,60100,0.855,0.081,0.3702361068883061
17097860302,0.293,0.313,0.77,45100,0.761,0.112,0.5359673106157019
29095014904,0.084,0.045,0.959,88700,0.964,0,0.2017271429189577
23029955300,0.155,0.155,0.938,61200,0.915,0.4,0.3506960212221412
34019010500,0.035,0.029,0.987,128000,0.969,0.007,0.13689881058040923
27105105100,0.095,0.061,0.893,75700,0.893,0.076,0.2776075858055304
26103002500,0.09,0.226,0.951,54200,0.937,0.133,0.3135417914805784
05045030301,0.087,0.079,0.944,75600,0.976,0.041,0.22994244140322748
31153010621,0.057,0.075,0.935,77100,0.953,0.034,0.22788482853481284
26109960400,0.051,0.043,0.949,67400,0.957,0.292,0.2477976349067346
37027030100,0.166,0.178,0.766,43200,0.84,0.076,0.42688244877343146
36047007700,0.045,0.104,0.988,208000,0.974,0.086,0.10229841515299071
36047013000,0.114,0.184,0.889,79200,0.766,0.057,0.3591845974249188
36047000900,0.01,0.038,0.986,236000,0.987,0.051,0.04015070555098352
36047003400,0.07,0.103,0.937,111000,0.788,0.018,0.2647338920501834
36081035200,0.068,0.185,0.917,117000,0.89,0.072,0.2626543263628493
36081023800,0.231,0.265,0.843,62500,0.6,0.055,0.507658744924569
36081026100,0.059,0.164,0.914,81200,0.752,0.037,0.3268727551910866
36081036300,0.121,0.315,0.791,75500,0.737,0.163,0.46107848523405043
42003413500,0.065,0.047,0.969,79300,0.984,0.031,0.19720733749509614
42003430100,0.167,0.209,0.934,66400,0.97,0.03,0.3067292957065248
42003427000,0.165,0.23,0.982,69900,0.941,0.199,0.3209975477053483
18057110907,0.03,0.005,0.959,196000,0.995,0.01,0.07293490111573635
17133600102,0.007,0.011,0.997,116000,0.96,0.101,0.1426603945724038
21111007400,0.15,0.05,0.858,59600,0.864,0.147,0.33649767563294336
21111011709,0.053,0.049,0.915,105000,0.953,0.004,0.19930970571707596
37083930504,0.267,0.365,0.898,34900,0.813,0.162,0.49303279160087193
08041003002,0.218,0.157,0.922,72900,0.976,0.11,0.31410169957845824
