"ZCTA5","fraction_assisted_income","fraction_high_school_edu","median_income","fraction_no_health_ins","fraction_poverty","fraction_vacant_housing","dep_index"
NA,0.191288833180601,0.871379772993345,51174.68,0.116181864413929,0.218111181115835,0.162704425710669,0.401909445238589
"01001",0.124854734792928,0.914686965722771,60160,0.0470773020007335,0.0890075730182531,0.0378619461171273,0.298365458157025
"01002",0.0747728984720797,0.953793315488074,69242.2857142857,0.031106921923521,0.294161706947318,0.110596087505284,0.303628527108367
"01003",0.137404580152672,0.852941176470588,NA,0.0272685256509012,0.600660066006601,0.284153005464481,NA
"01005",0.0781002638522427,0.952262693156733,67536,0.0141896938013443,0.0504107542942494,0.164093515659462,0.261917910235385
"01007",0.0948628187613843,0.93161116592313,77628,0.00810679996219943,0.0905713837543377,0.0381749730142432,0.253980206229626
"01008",0.0760634462869502,0.937666793747617,73438,0.0445693911135491,0.0607015620718005,0.197570147526757,0.276390805960418
"01009",0.129239230064161,0.900046061722708,43173,0.0228294707713594,0.129055515501081,0.0900750625521268,0.330875430304289
"01010",0.0943396226415094,0.94008875739645,87961,0.0156968876860622,0.0324979344533186,0.0956733698964046,0.234630698213827
"01011",0.0759366163205944,0.938173019515318,68974.5,0.0470615499735182,0.0639927563445422,0.179420911913668,0.280518788099782
"01012",0.0398406374501992,0.914634146341463,64167,0.036144578313253,0.0828025477707006,0.178396072013093,0.284084067931683
"01013",0.311090569585016,0.801519447691105,41287.8888888889,0.0403740803846158,0.193620762085065,0.0694519523105332,0.428407744534446
"01020",0.161489953022118,0.870385676737733,53796.6666666667,0.0400680028007405,0.114626707143161,0.0692445965438333,0.335540389519998
"01022",0.0930059807994418,0.896621432625352,63107,0.0162845845113537,0.0814213855569901,0.0725861460566724,0.283743743214684
"01026",0.0758097863542385,0.938679245283019,64511,0.0495537088334872,0.067283950617284,0.161271676300578,0.284646770239145
"01027",0.0835533452155341,0.951070908805131,65919.75,0.0334787587567335,0.0752751484351801,0.0549016472249037,0.264994299120697
"01028",0.104446053390744,0.947464201782149,80699,0.0131898668104276,0.0570405370241657,0.0410842427439696,0.241901054874014
"01029",0.0957966764418377,0.914973262032086,60859,0.0205128205128205,0.0790936297563061,0.574636174636175,0.345227749896729
"01030",0.114950690222009,0.914618343796353,67157.75,0.0383174562311228,0.0921782216665258,0.0308450503418857,0.285185556739194
"01031",0.127541589648799,0.92871830020562,61453,0.0276188106494153,0.134115884115884,0.114082969432314,0.308528729764212
"01032",0.0754119138149556,0.960058097312999,67813,0.0264182424916574,0.0745272525027809,0.132490379329302,0.265366218895274
"01033",0.0829805249788315,0.935469613259668,86910,0.0290245836637589,0.0445118059987237,0.0456565656565657,0.235622471097337
"01034",0.0760634462869502,0.937666793747617,73438,0.0445693911135491,0.0607015620718005,0.197570147526757,0.276390805960418
"01035",0.11013986013986,0.96111641221374,65625,0.026097042335202,0.0684904928211098,0.0785340314136126,0.268026165445002
"01036",0.0344287949921753,0.946751863684771,81018,0.0127852084972463,0.0518022454205239,0.0278904665314402,0.220382606568964
"01037",0.127541589648799,0.92871830020562,61453,0.0276188106494153,0.134115884115884,0.114082969432314,0.308528729764212
"01038",0.0758354755784062,0.969178082191781,65451,0.0336669699727025,0.0734000606612072,0.0412815773259396,0.25627943379277
"01039",0.0629537152840706,0.947715592521626,61059.5,0.0239340467671792,0.118841527682233,0.0902793316233212,0.278551653980273
"01040",0.410929340348583,0.722286026171112,36183.1818181818,0.0404465651212901,0.327396964370249,0.0866487426557396,0.519784300019966
"01050",0.106041798710226,0.939401021260634,68207,0.0308188321029593,0.0832741681326744,0.204935867414172,0.291566345955263
"01053",0.0845170454545455,0.938262742282843,67337,0.0297946196123807,0.141741394272491,0.0342935528120713,0.281093202375981
"01054",0.0795847750865052,0.955787102224725,77011,0.0160778506452295,0.0819915254237288,0.0749885688157293,0.248936512405322
"01056",0.105480141442354,0.832234589011443,62159.75,0.0313126383246659,0.0539736708240735,0.0534929852116284,0.301581406077761
"01057",0.127801425114214,0.920113747761928,64634.8,0.0411825107235498,0.101177697795323,0.0996004560300615,0.301665027321648
"01060",0.153343063364886,0.940199085855433,57412.4285714286,0.0283727628335243,0.192043508736004,0.083767352558422,0.328227133530743
"01062",0.156113984622372,0.935227761613072,56714.8,0.0235861256292204,0.190610753335821,0.0505357309411512,0.32493525324398
"01063",0.188235294117647,0.909090909090909,49583,0.0328703703703704,0.26,0.234234234234234,0.392856837869294
"01066",0.0758354755784062,0.969178082191781,65451,0.0336669699727025,0.0734000606612072,0.0412815773259396,0.25627943379277
"01068",0.092814371257485,0.931309904153355,80313,0.0571270105379922,0.0571270105379922,0.0332850940665702,0.257924617043664
"01069",0.148550758858707,0.895892558170477,53166.5,0.0331029699319359,0.121686327719209,0.0912164133096044,0.327926262727777
"01070",0.0758097863542385,0.938679245283019,64511,0.0495537088334872,0.067283950617284,0.161271676300578,0.284646770239145
"01071",0.0760634462869502,0.937666793747617,73438,0.0445693911135491,0.0607015620718005,0.197570147526757,0.276390805960418
"01072",0.0795847750865052,0.955787102224725,77011,0.0160778506452295,0.0819915254237288,0.0749885688157293,0.248936512405322
"01073",0.0801127214170692,0.927313266443701,79858,0.0230820325473265,0.054251955400233,0.018957345971564,0.242034123572983
"01074",0.0781002638522427,0.952262693156733,67536,0.0141896938013443,0.0504107542942494,0.164093515659462,0.261917910235385
"01075",0.0726411692802284,0.929365390752132,75673.8,0.032450158192137,0.0773523057643716,0.0465255462545907,0.256826073109732
"01077",0.0621443396324489,0.911463897259011,80801,0.0345723224209235,0.0474410405767341,0.0788641999181036,0.250394775618764
"01079",0.129239230064161,0.900046061722708,43173,0.0228294707713594,0.129055515501081,0.0900750625521268,0.330875430304289
"01080",0.230769230769231,0.883473637571998,47432,0.0353982300884956,0.210176991150442,0.113843991567112,0.386074597388394
"01081",0.12739571589628,0.932123866124492,59898,0.0483870967741935,0.0698680018206645,0.253052631578947,0.316637847869437
"01082",0.1546660978874,0.910568787995214,51814.3333333333,0.04253083538181,0.155915226795339,0.106205748958209,0.341033520723555
"01083",0.105339805825243,0.914090287277702,47014,0.0255665310865776,0.132868487313577,0.0945054945054945,0.319053363251521
"01084",0.0398406374501992,0.914634146341463,64167,0.036144578313253,0.0828025477707006,0.178396072013093,0.284084067931683
"01085",0.13189772499838,0.918499985257853,63168.75,0.0357461270113349,0.0995873218434642,0.0786941538345061,0.307233113824938
"01086",0,0.96551724137931,NA,0.00991553433712817,0.127272727272727,0,NA
"01088",0.0758354755784062,0.969178082191781,65451,0.0336669699727025,0.0734000606612072,0.0412815773259396,0.25627943379277
"01089",0.188474105655902,0.882689354371156,56372,0.0292549589516648,0.10969228150214,0.053695522295174,0.329354936513203
"01092",0.105339805825243,0.914090287277702,47014,0.0255665310865776,0.132868487313577,0.0945054945054945,0.319053363251521
"01093",0.0504955167531855,0.935373087730253,54306,0.0214498510427011,0.163155802861685,0.0480682839173405,0.291737089065272
"01094",0.127541589648799,0.92871830020562,61453,0.0276188106494153,0.134115884115884,0.114082969432314,0.308528729764212
"01095",0.116788056261891,0.922372036972787,80734.6666666667,0.0254100710717879,0.0963655588513108,0.0587324579901033,0.268928517655532
"01096",0.0576262756325774,0.937346121827231,65990,0.0312814104024552,0.0786649001367407,0.155443225671198,0.274725143413478
"01097",0.0760634462869502,0.937666793747617,73438,0.0445693911135491,0.0607015620718005,0.197570147526757,0.276390805960418
"01098",0.0758097863542385,0.938679245283019,64511,0.0495537088334872,0.067283950617284,0.161271676300578,0.284646770239145
"01103",0.571940246394415,0.645908445016147,16650.25,0.0670165158984077,0.543537010550561,0.167684285027717,0.68078324346178
"01104",0.433160360568928,0.696891326853,30211,0.0641552246199491,0.351443185684077,0.0862540958875083,0.553615338530773
"01105",0.579572327389416,0.644248669943768,20751.1428571429,0.0664989285423477,0.495651318075748,0.155925035918096,0.664444644120868
"01106",0.103489537388453,0.922044455537495,94367.25,0.0203772478875747,0.0926661302363363,0.066889582132746,0.249089527378801
"01107",0.585649977870191,0.577270749378368,23293.5,0.0645964239067271,0.44488842772649,0.0854682547174425,0.659175624110218
"01108",0.434177586757657,0.720052934217299,32714.7142857143,0.0625664633564892,0.352157285477158,0.107088252175398,0.546904068632353
"01109",0.379129170102676,0.781837985774402,36304.75,0.0590004930593599,0.286123087731663,0.115886146722428,0.493719896187732
"01118",0.220333829422195,0.900394354477936,59914.6666666667,0.0192581913404353,0.127776306305804,0.0557829822187794,0.330453163095892
"01119",0.248493133152597,0.829568363515079,43194.2,0.0425721308889342,0.19913979893258,0.0669797724115481,0.404099469101868
"01128",0.210437840314883,0.89860164642283,61919.5,0.0259597284199216,0.138040194413563,0.039028245939181,0.329134429707203
"01129",0.211014184829161,0.86235147922979,54285.8,0.0271794460083876,0.15986437634067,0.0482580329793142,0.355100857673383
"01151",0.345055034150216,0.811079045756026,36779.3333333333,0.0596902868494784,0.274066387171633,0.0873082284747184,0.469610369185845
"01199",0.218631178707224,0.747708634828751,41141,0.0588409225310467,0.266163141993958,0.146103896103896,0.454765819863261
"01201",0.168554323038918,0.904364468900732,50711,0.0266743958191097,0.151780669644003,0.11705867756447,0.342412325605975
"01220",0.123111524303869,0.906667004180944,48377,0.0214002762541904,0.0858443629723574,0.118893685394183,0.313428551078982
"01222",0.0634462869502523,0.90292819895708,55781,0.0254658385093168,0.120496894409938,0.176854599406528,0.308749522675363
"01223",0.105108055009823,0.925278219395866,66012,0.0418665503706934,0.0714285714285714,0.506782945736434,0.335975751114734
"01224",0.100601891659501,0.933270231897776,68036,0,0.043046357615894,0.166905444126074,0.266098622781858
"01225",0.0988620199146515,0.941225510629429,55063,0.0172090112640801,0.0535601764335224,0.12125,0.280467362981509
"01226",0.0821945131377687,0.943832375836556,60231,0.0321423640064517,0.0917965294024525,0.198106115605784,0.294636108353694
"01229",0.0949298813376483,0.885346413243409,56027,0.0202269363591515,0.109382839939789,0.451803666469545,0.351170394534798
"01230",0.0623392690790597,0.93725263744137,63358.4,0.043688285986681,0.0878810393557325,0.338313387813502,0.308339644049425
"01235",0.0754444760780058,0.932508157413322,66564,0.0365582078711831,0.0658887101875467,0.330563801398843,0.300362505031563
"01236",0.0865056197504968,0.915841913237215,61371.6666666667,0.0516122365145437,0.0825746050371378,0.321959970934619,0.32205448517869
"01237",0.0704158883584863,0.942024367581233,74502,0.0153447588680749,0.0438695475230308,0.27783211316374,0.268092278260405
"01238",0.0754088637022567,0.920028165160293,60031.6666666667,0.0314888103331158,0.107530015339828,0.402731811559541,0.329253538146712
"01240",0.098493575129625,0.913686446100743,57615.75,0.037170326820679,0.104110045959108,0.338764657434824,0.332712279953415
"01242",0.0918367346938776,0.946261682242991,49634,0.0415973377703827,0.1276008492569,0.187935034802784,0.319415742594008
"01243",0.0758097863542385,0.938679245283019,64511,0.0495537088334872,0.067283950617284,0.161271676300578,0.284646770239145
"01244",0.098546042003231,0.942905121746432,74688,0.0551343900758098,0.0854583046175052,0.406519654841802,0.315659492502394
"01245",0.0745132662456798,0.94491899883176,66941.6666666667,0.0349654074821126,0.0899104057474457,0.509670204985508,0.324396743578114
"01247",0.197055903655522,0.87311476901675,43068.6666666667,0.0358683297030077,0.150737249091287,0.117121857824027,0.369765652115494
"01253",0.0957966764418377,0.914973262032086,60859,0.0205128205128205,0.0790936297563061,0.574636174636175,0.345227749896729
"01254",0.0577987660581474,0.956260665022356,76734,0.0408677714203762,0.0495657992008459,0.385288482009793,0.282049233394669
"01255",0.0957966764418377,0.914973262032086,60859,0.0205128205128205,0.0790936297563061,0.574636174636175,0.345227749896729
"01256",0.146926536731634,0.875222816399287,53250,0.0323645970937913,0.0682571239231279,0.107095046854083,0.320781786427075
"01257",0.0634462869502523,0.90292819895708,55781,0.0254658385093168,0.120496894409938,0.176854599406528,0.308749522675363
"01258",0.0312876052948255,0.963114754098361,65457,0.025028441410694,0.0443686006825939,0.428079834824501,0.284005688783262
"01259",0.098546042003231,0.942905121746432,74688,0.0551343900758098,0.0854583046175052,0.406519654841802,0.315659492502394
"01260",0.0985147554073997,0.891602941382058,57408.5,0.0326087095708199,0.108705381575479,0.330170324600038,0.337728813052458
"01262",0.0949298813376483,0.885346413243409,56027,0.0202269363591515,0.109382839939789,0.451803666469545,0.351170394534798
"01264",0.0291970802919708,0.976878612716763,65278,0.0292490118577075,0.105179282868526,0.547854785478548,0.31230298833522
"01266",0.0671950445637658,0.936734664707264,64661.3333333333,0.032100467624816,0.0693967671979691,0.420567227704076,0.309729538789482
"01267",0.0696834078305354,0.936806407440348,76523,0.017168291733057,0.090573114699349,0.282290502013436,0.280737492045837
"01270",0.0779944289693593,0.947054436987323,70125,0.0439189189189189,0.0698591549295775,0.222943722943723,0.283221371803434
"01301",0.177501520421634,0.918202182205331,53808.1666666667,0.0435880418650331,0.134732478325615,0.0618899145612337,0.331878716700562
"01330",0.0554785020804438,0.978422910945469,73750,0.0328596802841918,0.0537955768081291,0.171740379092476,0.250193446456782
"01331",0.161132283792324,0.888342152021108,55368.25,0.041710379246097,0.131146258222041,0.150041166837616,0.34372304734548
"01337",0.0839779005524862,0.950649350649351,66094,0.0325747434181169,0.0752904378909741,0.0674909840288511,0.266299425285917
"01338",0.142162818955043,0.936005389019872,54891,0.0300187617260788,0.0831322070260123,0.109307359307359,0.304109990029804
"01339",0.12963996803608,0.92455688979211,53895,0.0326017685594324,0.0962797206291194,0.193574460365505,0.320035081241275
"01340",0.117117117117117,0.913108390564348,52899,0.035184775392786,0.109427234232226,0.277841561423651,0.335960172452746
"01341",0.0554785020804438,0.978422910945469,73750,0.0328596802841918,0.0537955768081291,0.171740379092476,0.250193446456782
"01342",0.105654761904762,0.967776584317938,74853,0.0220907297830375,0.0747474747474747,0.0844686648501362,0.256007318135908
"01343",0.146926536731634,0.875222816399287,53250,0.0323645970937913,0.0682571239231279,0.107095046854083,0.320781786427075
"01344",0.133964817320704,0.924050632911392,53777,0.022107378696526,0.107857349956509,0.123368920521945,0.312146200230848
"01346",0.117117117117117,0.913108390564348,52899,0.035184775392786,0.109427234232226,0.277841561423651,0.335960172452746
